measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Switzerland,Male,25+ years,Pancreatic cancer,Percent,2019,0.022782912569206747,0.024846290255935106,0.020855937787003873
Deaths,Switzerland,Female,25+ years,Pancreatic cancer,Percent,2019,0.022910469279067723,0.025407552040327283,0.019587651197044816
Deaths,Switzerland,Male,25+ years,Hodgkin lymphoma,Percent,2019,0.0005422803602928242,0.0007075773422122143,0.00031376972877698894
Deaths,Switzerland,Female,25+ years,Hodgkin lymphoma,Percent,2019,0.00038319149971378935,0.0005050109664772376,0.00026301749185247573
Deaths,Switzerland,Male,25+ years,Leukemia,Percent,2019,0.010548057137312855,0.01192085756648834,0.009236314090332235
Deaths,Switzerland,Female,25+ years,Leukemia,Percent,2019,0.007446507001542324,0.008415613943485166,0.006280859852901308
Deaths,Finland,Male,25+ years,Hodgkin lymphoma,Percent,2019,0.0005214249895379207,0.0006640478181577845,0.00040668959676573954
Deaths,Finland,Female,25+ years,Hodgkin lymphoma,Percent,2019,0.0004133504024607188,0.0005377105052218777,0.00028424421307981677
Deaths,Finland,Male,25+ years,Leukemia,Percent,2019,0.00805677261180562,0.009132646245915213,0.00712602939746461
Deaths,Finland,Female,25+ years,Leukemia,Percent,2019,0.0067594662169388,0.007777297816556885,0.005708351254433719
Deaths,France,Male,25+ years,Stomach cancer,Percent,2019,0.014473186160680234,0.01569478808672421,0.01314497990998486
Deaths,France,Female,25+ years,Stomach cancer,Percent,2019,0.009783162042155473,0.011098969244631716,0.008053417980385329
Deaths,France,Male,25+ years,Liver cancer,Percent,2019,0.01876137127090716,0.021805809356137927,0.016102203666627124
Deaths,France,Female,25+ years,Liver cancer,Percent,2019,0.007364995120104922,0.008473130701070282,0.006171621431752262
Deaths,United Kingdom,Male,25+ years,Stomach cancer,Percent,2019,0.014669007012950215,0.015286335251527264,0.013746859426595513
Deaths,United Kingdom,Female,25+ years,Stomach cancer,Percent,2019,0.00986262535965616,0.010537945687717789,0.008741042428738025
Deaths,United Kingdom,Male,25+ years,Liver cancer,Percent,2019,0.009655115288259644,0.010359074454471404,0.008939191313542072
Deaths,United Kingdom,Female,25+ years,Liver cancer,Percent,2019,0.007049374767826209,0.007483995253347166,0.006351309374879767
Deaths,France,Male,25+ years,Pancreatic cancer,Percent,2019,0.023295604139785795,0.025521656366385283,0.021064435330205796
Deaths,France,Female,25+ years,Pancreatic cancer,Percent,2019,0.02370676966254251,0.026994479883159343,0.019626329516828647
Deaths,United Kingdom,Male,25+ years,Pancreatic cancer,Percent,2019,0.018999881126224305,0.019763222535981406,0.01793274967032882
